tipoDocumentoCodigo,numeroDocumento,primerNombre,segundoNombre,apellidoPaterno,apellidoMaterno,correo,telefono,segmentoCodigo,zonaCodigo,agenciaCodigo,canalCodigo,tipoClienteCodigo
DNI,10101010,Laura,,Herrera,Vega,laura.herrera@email.com,999655619,TOP_OF_MASS,ESTE,AGC-LIMA-001,O2O,NATURAL
DNI,10101011,Rubén,,Medina,Torres,ruben.medina@email.com,931886785,PREMIUM,SUR,AGC-LIMA-MOLINA,SALESLAND,NATURAL
DNI,10101012,Alejandro,Enrique,Rojas,Ortiz,alejandro.rojas@email.com,973990961,BEYOND,LIMA,AGC-SUR-001,SEF,NATURAL
CE,CE100003,Marina,,Chávez,Herrera,marina.chavez@email.com,968934047,PREMIUM,NORTE,AGC-LIMA-SURCO,SALESLAND,NATURAL
DNI,10101014,Víctor,,Castro,Jiménez,victor.castro@email.com,922228554,PREMIUM,SUR,AGC-NORTE-001,REACTIVO,NATURAL
RUC,2010000005,Silvia,,Sánchez,Torres,silvia.sanchez@email.com,921166706,MASS,SUR,AGC-LIMA-SURCO,TCONTAKTO,NATURAL
DNI,10101016,Gustavo,Luis,Rojas,Medina,gustavo.rojas@email.com,997997206,REGULAR,NORTE,AGC-SUR-001,SEF,NATURAL
DNI,10101017,Camila,,Vargas,Torres,camila.vargas@email.com,973422060,MASS,NORTE,AGC-SUR-001,BURO,NATURAL
DNI,10101018,Claudia,,Jiménez,Castillo,claudia.jimenez@email.com,950548696,PREMIUM,LIMA,AGC-NORTE-001,SALESLAND,NATURAL
DNI,10101019,Isabel,,Campos,Castillo,isabel.campos@email.com,943976463,MASS,LIMA,AGC-NORTE-001,SEF,NATURAL
DNI,10101020,Mónica,Rafael,Medina,Navarro,monica.medina@email.com,990059887,TOP_OF_MASS,NORTE,AGC-LIMA-002,TGESTIONA,NATURAL
DNI,10101021,Adriana,,Campos,Díaz,adriana.campos@email.com,996379751,PREMIUM,OESTE,AGC-LIMA-002,RED,NATURAL
RUC,2010000012,Ana,,Ramos,Sánchez,ana.ramos@email.com,993643856,REGULAR,NORTE,AGC-LIMA-SURCO,TGESTIONA,NATURAL
DNI,10101023,Javier,,Moreno,Rojas,javier.moreno@email.com,935749581,MASS,NORTE,AGC-NORTE-001,BURO,NATURAL
DNI,10101024,Adriana,,Álvarez,Ortiz,adriana.alvarez@email.com,963883782,MASS,SUR,AGC-LIMA-001,TGESTIONA,NATURAL
DNI,10101025,Andrea,Luis,López,Rodríguez,andrea.lopez@email.com,958520978,PREMIUM,SUR,AGC-SUR-001,SEF,NATURAL
DNI,10101026,Hugo,Manuel,García,Cruz,hugo.garcia@email.com,961925208,PREMIUM,ESTE,AGC-SUR-001,MF,NATURAL
DNI,10101027,Marina,Luis,Chávez,Vargas,marina.chavez@email.com,958648507,TOP_OF_MASS,OESTE,AGC-SUR-001,SALESLAND,NATURAL
RUC,2010000018,Miguel,,Torres,Díaz,miguel.torres@email.com,964604539,REGULAR,OESTE,AGC-LIMA-SURCO,SALESLAND,NATURAL
DNI,10101029,Sergio,Felipe,Vargas,Cruz,sergio.vargas@email.com,976128692,TOP_OF_MASS,OESTE,AGC-SUR-001,SALESLAND,NATURAL
DNI,10101030,Andrea,Luis,Ramos,Salazar,andrea.ramos@email.com,973405207,MASS,ESTE,AGC-LIMA-SURCO,SEF,NATURAL
DNI,10101031,Teresa,,Peralta,Cruz,teresa.peralta@email.com,996841260,PREMIUM,ESTE,AGC-LIMA-001,TELEMARKETING,NATURAL
RUC,2010000022,Fernando,,Sánchez,Ruiz,fernando.sanchez@email.com,913710313,MASS,SUR,AGC-LIMA-001,SEF,JURIDICA
RUC,2010000023,Fernanda,,Chávez,Guzmán,fernanda.chavez@email.com,969686568,TOP_OF_MASS,SUR,AGC-SUR-001,TCONTAKTO,NATURAL
DNI,10101034,Gabriela,Felipe,Torres,Navarro,gabriela.torres@email.com,913831396,MASS,OESTE,AGC-NORTE-001,RED,NATURAL
DNI,10101035,Elena,,Ramos,Cruz,elena.ramos@email.com,986926638,TOP_OF_MASS,LIMA,AGC-LIMA-002,TGESTIONA,JURIDICA
DNI,10101036,Camila,,Mendoza,Moreno,camila.mendoza@email.com,972320481,REGULAR,LIMA,AGC-LIMA-001,BURO,JURIDICA
DNI,10101037,Manuel,,Peralta,Rojas,manuel.peralta@email.com,938709183,TOP_OF_MASS,NORTE,AGC-NORTE-001,BURO,NATURAL
DNI,10101038,Iván,Antonio,Flores,Torres,ivan.flores@email.com,961726748,MASS,OESTE,AGC-LIMA-001,REACTIVO,NATURAL
RUC,2010000029,Eduardo,,Rojas,Romero,eduardo.rojas@email.com,990374443,REGULAR,SUR,AGC-LIMA-SURCO,O2O,NATURAL
DNI,10101040,Gustavo,,Torres,Guzmán,gustavo.torres@email.com,973757287,REGULAR,ESTE,AGC-SUR-001,TELEMARKETING,NATURAL
CE,CE100031,Ana,Antonio,Vargas,Guzmán,ana.vargas@email.com,988163117,BEYOND,LIMA,AGC-LIMA-002,TGESTIONA,NATURAL
DNI,10101042,Camila,,Vega,Sánchez,camila.vega@email.com,984653792,BEYOND,NORTE,AGC-LIMA-002,SEF,NATURAL
DNI,10101043,Cecilia,Rafael,Castro,Vargas,cecilia.castro@email.com,932452781,MASS,OESTE,AGC-LIMA-001,RED,NATURAL
CE,CE100034,Lorena,Sergio,Salazar,Torres,lorena.salazar@email.com,959028167,MASS,NORTE,AGC-NORTE-001,SALESLAND,NATURAL
DNI,10101045,Mónica,,Peralta,Mendoza,monica.peralta@email.com,995870754,BEYOND,NORTE,AGC-LIMA-MOLINA,SALESLAND,JURIDICA
