campaniaCodigo,clienteNumeroDocumento,monto,tasa,fechaOferta,estado
CAMP-2025-08-TARJETA_CREDITO,10101053,11311.43,22.69,2025-08-02,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101025,7084.82,24.53,2025-08-26,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101056,5231.18,24.39,2025-08-30,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,2010000005,7203.57,34.89,2025-08-24,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101035,8156.64,23.37,2025-08-12,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101030,11435.92,24.29,2025-08-08,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101040,13275.84,31.89,2025-08-11,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101023,13894.18,28.20,2025-08-13,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101045,10822.29,33.26,2025-08-06,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,2010000040,5365.25,26.45,2025-08-31,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,2010000029,8722.49,19.60,2025-08-04,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101014,11362.64,35.26,2025-08-16,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101036,11035.44,25.86,2025-08-11,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101027,6647.81,34.84,2025-08-31,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,2010000047,12353.92,25.51,2025-08-30,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101019,9194.45,31.28,2025-08-14,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101037,4881.29,26.40,2025-08-09,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101026,12383.70,30.38,2025-08-14,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101012,4115.65,27.40,2025-08-13,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,2010000018,10470.76,19.90,2025-08-05,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,CE100003,14042.00,25.11,2025-08-10,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,CE100039,11651.37,26.89,2025-08-04,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,2010000022,9742.12,23.13,2025-08-16,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101017,12077.88,27.67,2025-08-29,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,CE100031,13131.14,26.19,2025-08-30,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101034,8312.44,31.21,2025-08-29,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101016,3853.43,30.18,2025-08-06,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,CE100034,3688.15,30.76,2025-08-21,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101010,14812.89,19.27,2025-08-13,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101043,5588.33,22.67,2025-08-30,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101055,3173.06,21.24,2025-08-03,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,2010000023,5259.14,25.35,2025-08-02,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101029,12564.17,25.09,2025-08-21,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101051,9100.56,28.56,2025-08-25,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101021,6645.02,24.22,2025-08-11,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101054,13563.42,33.61,2025-08-14,ACTIVA
